sub_id,user_id,plan,mrr,start_date,end_date,status
sub_0000000,u_0034091,pro,79,2023-10-04,,active
sub_0000001,u_0011701,starter,27,2023-10-10,,active
sub_0000002,u_0017829,starter,29,2023-10-09,,active
sub_0000003,u_0025168,starter,30,2023-10-02,,active
sub_0000004,u_0068979,pro,81,2023-10-02,,active
sub_0000005,u_0094665,starter,31,2023-10-03,,active
sub_0000006,u_0058888,starter,27,2023-10-05,,active
sub_0000007,u_0050712,pro,77,2023-10-05,,active
sub_0000008,u_0037013,starter,29,2023-10-02,,active
sub_0000009,u_0023517,starter,27,2023-10-04,,active
sub_0000010,u_0067010,starter,30,2023-10-02,,active
sub_0000011,u_0053140,starter,29,2023-10-07,,active
sub_0000012,u_0075254,business,200,2023-10-04,,active
sub_0000013,u_0036957,pro,79,2023-10-08,,active
sub_0000014,u_0035974,pro,77,2023-10-04,,active
sub_0000015,u_0006040,pro,79,2023-10-02,,active
sub_0000016,u_0003589,starter,30,2023-10-18,,active
sub_0000017,u_0042569,starter,28,2023-10-09,,active
sub_0000018,u_0019875,starter,27,2023-10-01,,active
sub_0000019,u_0028457,starter,28,2023-10-03,,active
sub_0000020,u_0048399,starter,30,2023-10-03,,active
sub_0000021,u_0051982,business,197,2023-10-05,,active
sub_0000022,u_0088440,starter,28,2023-10-04,,active
sub_0000023,u_0016015,pro,81,2023-10-07,,active
sub_0000024,u_0040725,starter,30,2023-10-08,,active
sub_0000025,u_0022991,starter,31,2023-10-06,,active
sub_0000026,u_0029313,pro,79,2023-10-03,,active
sub_0000027,u_0091431,starter,30,2023-10-11,,active
sub_0000028,u_0050918,starter,28,2023-10-03,,active
sub_0000029,u_0008104,pro,81,2023-10-11,,active
sub_0000030,u_0068078,pro,77,2023-10-07,,active
sub_0000031,u_0010820,starter,28,2023-10-07,,active
sub_0000032,u_0057159,starter,27,2023-10-24,,active
sub_0000033,u_0006622,starter,29,2023-10-02,,active
sub_0000034,u_0034684,starter,28,2023-10-15,,active
sub_0000035,u_0000850,starter,28,2023-10-07,,active
sub_0000036,u_0022377,starter,29,2023-10-06,,active
sub_0000037,u_0034639,pro,77,2023-10-09,,active
sub_0000038,u_0039509,starter  ,31,2023-10-04,,active
sub_0000039,u_0076625,starter,29,2023-10-07,,active
sub_0000040,u_0021330,starter,27,2023-10-04,,active
sub_0000041,u_0060305,starter,31,2023-10-08,,active
sub_0000042,u_0024412,business,201,2023-10-12,,active
sub_0000043,u_0095670,business,199,2023-10-05,,active
sub_0000044,u_0077779,starter,27,2023-10-03,,active
sub_0000045,u_0076663,starter,29,2023-10-07,,active
sub_0000046,u_0087234,pro,81,2023-10-06,,active
sub_0000047,u_0090762,starter,31,2023-10-06,,active
sub_0000048,u_0061682,starter,30,2023-10-03,,active
sub_0000049,u_0070682,starter,29,2023-10-03,,active
sub_0000050,u_0098358,starter,27,2023-10-05,,active
sub_0000051,u_0045844,business,200,2023-10-27,,active
sub_0000052,u_0047763,starter,29,2023-10-09,,active
sub_0000053,u_0054199,starter,28,2023-10-03,,active
sub_0000054,u_0091202,business,200,2023-10-09,,active
sub_0000055,u_0054225,starter,28,2023-10-05,,active
sub_0000056,u_0069105,pro,77,2023-10-04,,active
sub_0000057,u_0077320,pro,77,2023-10-06,,active
sub_0000058,u_0077486,starter,$27,2023-10-05,,active
sub_0000059,u_0012494,starter,28,2023-10-13,,active
sub_0000060,u_0053963,starter  ,27,2023-10-04,,active
sub_0000061,u_0071682,pro,79,2023-10-04,,active
sub_0000062,u_0008096,starter,30,2023-10-03,,active
sub_0000063,u_0008041,starter,31,2023-10-08,,active
sub_0000064,u_0098250,starter,27,2023-10-08,,active
sub_0000065,u_0026099,pro,80,2023-10-04,,active
sub_0000066,u_0095844,pro,79,2023-10-03,,active
sub_0000067,u_0036582,starter,28,2023-10-15,,active
sub_0000068,u_0085391,pro,77,2023-10-08,,active
sub_0000069,u_0083389,,30,2023-10-03,,active
sub_0000070,u_0073244,pro,81,2023-10-08,,active
sub_0000071,u_0044948,pro,77,2023-10-12,,active
sub_0000072,u_0088932,starter,30,2023-10-08,,active
sub_0000073,u_0081680,pro,80,2023-10-09,,active
sub_0000074,u_0013616,pro,80,2023-10-04,,active
sub_0000075,u_0065248,,31,2023-10-06,,active
sub_0000076,u_0010424,Starter,28,2023-10-07,,active
sub_0000077,u_0063174,,28,2023-10-15,,active
sub_0000078,u_0029905,starter,27,2023-10-14,,active
sub_0000079,u_0037958,starter,28,2023-10-10,,active
sub_0000080,u_0072387,pro,79,2023-10-08,,active
sub_0000081,u_0020590,starter,27,2023-10-09,,active
sub_0000082,u_0002129,starter,27,2023-10-10,,active
sub_0000083,u_0045757,starter  ,31,2023-10-22,,active
sub_0000084,u_0073564,starter,28,2023-10-09,,active
sub_0000085,u_0077806,starter,29,2023-10-07,,active
sub_0000086,u_0067522,starter,29,2023-10-07,,active
sub_0000087,u_0004141,pro,78,2023-10-05,,active
sub_0000088,u_0089251,starter,27,2023-10-05,,active
sub_0000089,u_0052717,pro,78,2023-10-04,,active
sub_0000090,u_0004857,starter,31,2023-10-07,,active
sub_0000091,u_0051751,starter,31,2023-10-09,,active
sub_0000092,u_0051773,starter,28,2023-10-11,,active
sub_0000093,u_0072790,pro,80,2023-10-04,,active
sub_0000094,u_0017108,starter,29,2023-10-06,,active
sub_0000095,u_0041686,pro,80,2023-10-08,,active
sub_0000096,u_0001581,starter,28,2023-10-07,,active
sub_0000097,u_0093872,starter,28,2023-10-08,,active
sub_0000098,u_0033244,starter,30,2023-10-08,,active
sub_0000099,u_0087426,pro,81,2023-10-05,,active
sub_0000100,u_0030521,pro,80,2023-10-12,,active
sub_0000101,u_0066895,pro,80,2023-10-10,,active
sub_0000102,u_0062201,starter,30,2023-10-07,,active
sub_0000103,u_0024874,starter,31,2023-10-12,,active
sub_0000104,u_0082714,starter,29,2023-10-09,,active
sub_0000105,u_0040897,starter,28,2023-10-14,,active
sub_0000106,u_0006864,pro,79,2023-10-05,,active
sub_0000107,u_0099673,pro,79,2023-10-06,,active
sub_0000108,u_0046526,starter,27,2023-10-08,,active
sub_0000109,u_0082413,starter,29,2023-10-07,,active
sub_0000110,u_0092890,starter,27,2023-10-08,,active
sub_0000111,u_0070524,,80,2023-10-08,,active
sub_0000112,u_0018444,business,200,2023-10-11,,active
sub_0000113,u_0096692,starter,27,2023-10-18,,active
sub_0000114,u_0082986,starter,29,2023-10-15,,active
sub_0000115,u_0024301,starter,30,2023-10-09,,active
sub_0000116,u_0070040,starter,30,2023-10-04,,active
sub_0000117,u_0006587,starter,30,2023-10-06,,active
sub_0000118,u_0055129,starter,31,2023-10-05,,active
sub_0000119,u_0082650,starter,27,2023-10-06,,active
sub_0000120,u_0013115,starter,28,2023-10-04,,active
sub_0000121,u_0048014,starter,31,2023-10-05,,active
sub_0000122,u_0090883,starter,27,2023-10-09,,active
sub_0000123,u_0078092,pro,79,2023-10-06,,active
sub_0000124,u_0068386,starter,27,2023-10-11,,active
sub_0000125,u_0045141,pro,80,2023-10-11,,active
sub_0000126,u_0095262,pro,80,2023-10-08,,active
sub_0000127,u_0019727,starter,30,2023-10-08,,active
sub_0000128,u_0007132,pro,80,2023-10-20,,active
sub_0000129,u_0042057,PRO,80,2023-10-06,,active
sub_0000130,u_0055167,starter,27,2023-10-10,,active
sub_0000131,u_0081140,business,201,2023-10-12,,active
sub_0000132,u_0080619,starter,31,2023-10-05,,active
sub_0000133,u_0040305,pro,78,2023-10-08,,active
sub_0000134,u_0045599,pro,80,2023-10-10,,active
sub_0000135,u_0009840,starter,29,2023-10-10,,active
sub_0000136,u_0029355,,79,2023-10-05,,active
sub_0000137,u_0000326,business,201,2023-10-12,,active
sub_0000138,u_0015298,Pro,81,2023-10-11,,active
sub_0000139,u_0021303,starter,28,2023-10-10,,active
sub_0000140,u_0069932,pro,81,2023-10-10,,active
sub_0000141,u_0062408,pro,80,2023-10-13,,active
sub_0000142,u_0091839,business,199,2023-10-10,,active
sub_0000143,u_0087118,starter,29,2023-10-06,,active
sub_0000144,u_0099987,pro,79,2023-10-08,,active
sub_0000145,u_0004114,starter,27,2023-10-06,,active
sub_0000146,u_0034716,starter,28,2023-10-11,,active
sub_0000147,u_0032906,pro,81,2023-10-06,,active
sub_0000148,u_0080143,starter,27,2023-10-04,,active
sub_0000149,u_0013432,pro,78,2023-10-06,,active
sub_0000150,u_0018018,pro,77,2023-10-10,,active
sub_0000151,u_0039511,starter,31,2023-10-12,,active
sub_0000152,u_0085773,pro,77,2023-10-08,,active
sub_0000153,u_0091282,starter,27,2023-10-10,,active
sub_0000154,u_0090798,starter,29,2023-10-06,,active
sub_0000155,u_0034324,pro,81,2023-10-04,,active
sub_0000156,u_0082777,starter,28,2023-10-13,,active
sub_0000157,u_0046883,pro,81,2023-10-09,,active
sub_0000158,u_0020299,pro,78,2023-10-12,,active
sub_0000159,u_0045724,pro,81,2023-10-13,,active
sub_0000160,u_0078607,pro,80,2023-10-10,,active
sub_0000161,u_0069110,starter,28,2023-10-09,,active
sub_0000162,u_0080739,starter,31,2023-10-09,,active
sub_0000163,u_0050792,starter  ,30,2023-10-16,,active
sub_0000164,u_0045242,pro,80,2023-10-13,,active
sub_0000165,u_0039228,pro,78,2023-10-11,,active
sub_0000166,u_0098788,starter,29,2023-10-18,,active
sub_0000167,u_0036228,starter,27,2023-10-06,,active
sub_0000168,u_0007300,business,197,2023-10-08,,active
sub_0000169,u_0028470,starter,31,2023-10-09,,active
sub_0000170,u_0019886,starter,28,2023-10-09,,active
sub_0000171,u_0052147,starter,28,2023-10-13,,active
sub_0000172,u_0000128,starter,30,2023-10-12,,active
sub_0000173,u_0039403,starter,30,2023-10-12,,active
sub_0000174,u_0043844,starter,29,2023-10-07,,active
sub_0000175,u_0003917,starter,28,2023-10-08,,active
sub_0000176,u_0073784,pro,79,2023-10-09,,active
sub_0000177,u_0097721,starter,31,2023-10-07,,active
sub_0000178,u_0059373,starter,27,2023-10-09,,active
sub_0000179,u_0022346,pro,80,2023-10-10,,active
sub_0000180,u_0062342,starter,29,2023-10-07,,active
sub_0000181,u_0086910,starter,30,2023-10-21,,active
sub_0000182,u_0091884,starter,30,2023-10-11,,active
sub_0000183,u_0042991,starter,30,2023-10-19,,active
sub_0000184,u_0005357,starter,28,2023-10-14,,active
sub_0000185,u_0012635,pro,79,2023-10-11,,active
sub_0000186,u_0052610,starter,29,2023-10-06,,active
sub_0000187,u_0027233,pro,81,2023-10-14,,active
sub_0000188,u_0097350,starter,29,2023-10-10,,active
sub_0000189,u_0098223,starter,30,2023-10-09,,active
sub_0000190,u_0038349,starter,29,2023-10-09,,active
sub_0000191,u_0097286,starter,28,2023-10-13,,active
sub_0000192,u_0003486,starter,28,2023-10-08,,active
sub_0000193,u_0084281,business,200,2023-10-18,,active
sub_0000194,u_0069409,pro,80,2023-10-10,,active
sub_0000195,u_0057112,starter,29,2023-10-15,,active
sub_0000196,u_0000721,pro,80,2023-10-10,,active
sub_0000197,u_0081014,pro,78,2023-10-08,,active
sub_0000198,u_0063708,pro,80,2023-10-06,,active
sub_0000199,u_0039109,starter,31,2023-10-13,,active
sub_0000200,u_0047374,starter,28,2023-10-07,,active
sub_0000201,u_0046399,pro,78,2023-10-13,,active
sub_0000202,u_0087806,business,197,2023-10-20,,active
sub_0000203,u_0023473,pro,80,2023-10-15,,active
sub_0000204,u_0076665,starter,27,2023-10-11,,active
sub_0000205,u_0017168,business,197,2023-10-12,,active
sub_0000206,u_0038392,starter,27,2023-10-10,,active
sub_0000207,u_0018289,pro,79,2023-10-09,,active
sub_0000208,u_0095457,starter,27,2023-10-14,,active
sub_0000209,u_0066187,pro,78,2023-10-19,,active
sub_0000210,u_0086921,starter,27,2023-10-10,,active
sub_0000211,u_0043502,starter,29,2023-10-08,,active
sub_0000212,u_0006876,pro,81,2023-10-14,,active
sub_0000213,u_0053307,pro,77,2023-10-06,,active
sub_0000214,u_0005431,starter,31,2023-10-13,,active
sub_0000215,u_0013567,pro,80,2023-10-12,,active
sub_0000216,u_0043662,starter,30,2023-10-13,,active
sub_0000217,u_0075696,pro,78,2023-10-10,,active
sub_0000218,u_0034070,starter,27,2023-10-08,,active
sub_0000219,u_0041516,starter,30,2023-10-12,,active
sub_0000220,u_0012524,business,201,2023-10-07,,active
sub_0000221,u_0074379,starter,29,2023-10-07,,active
sub_0000222,u_0027459,pro,77,2023-10-09,,active
sub_0000223,u_0069245,BUSINESS,199,2023-10-08,,active
sub_0000224,u_0058302,starter,27,2023-10-10,,active
sub_0000225,u_0061461,pro,81,2023-10-19,,active
sub_0000226,u_0090231,starter,28,2023-10-09,,active
sub_0000227,u_0070625,pro,80,2023-10-10,,active
sub_0000228,u_0023174,starter,28,2023-10-08,,active
sub_0000229,u_0012882,pro,80,2023-10-12,,active
sub_0000230,u_0095093,starter,29,2023-10-08,,active
sub_0000231,u_0065449,pro,78,2023-10-09,,active
sub_0000232,u_0066129,starter,30,2023-10-12,,active
sub_0000233,u_0097044,pro,81,2023-10-15,,active
sub_0000234,u_0033373,starter,27,2023-10-16,,active
sub_0000235,u_0085079,starter,31,2023-10-22,,active
sub_0000236,u_0086575,,27,2023-10-12,,active
sub_0000237,u_0045499,pro,81,2023-10-10,,active
sub_0000238,u_0088002,starter,28,2023-10-12,,active
sub_0000239,u_0010925,starter,29,2023-10-10,,active
sub_0000240,u_0092110,starter,29,2023-10-10,,active
sub_0000241,u_0062249,starter,28,2023-10-18,,active
sub_0000242,u_0086848,business,198,2023-10-11,,active
sub_0000243,u_0050106,starter,27,2023-10-12,,active
sub_0000244,u_0006521,pro,81,2023-10-10,,active
sub_0000245,u_0031186,starter,30,2023-10-11,,active
sub_0000246,u_0039446,pro,81,2023-10-07,,active
sub_0000247,u_0037405,pro,78,2023-10-18,,active
sub_0000248,u_0060368,pro,80,2023-10-08,,active
sub_0000249,u_0089555,business,201,2023-10-22,,active
sub_0000250,u_0073623,business,200,2023-10-15,,active
sub_0000251,u_0082951,starter,29,2023-10-13,,active
sub_0000252,u_0037061,starter,30,2023-10-09,,active
sub_0000253,u_0082481,starter,30,2023-10-08,,active
sub_0000254,u_0027999,starter,30,2023-10-14,,active
sub_0000255,u_0045537,pro,79,2023-10-08,,active
sub_0000256,u_0008834,starter  ,30,2023-10-13,,active
sub_0000257,u_0067036,business,200,2023-10-11,,active
sub_0000258,u_0018010,pro,80,2023-10-10,,active
sub_0000259,u_0025272,starter,27,2023-10-16,,active
sub_0000260,u_0014484,business,200,2023-10-09,,active
sub_0000261,u_0052715,starter,30,2023-10-17,,active
sub_0000262,u_0036640,starter,30,2023-10-12,,active
sub_0000263,u_0071857,pro,77,2023-10-14,,active
sub_0000264,u_0017077,starter,28,2023-10-09,,active
sub_0000265,u_0024651,pro,80,2023-10-14,,active
sub_0000266,u_0040014,starter,29,2023-10-13,,active
sub_0000267,u_0053395,pro,77,2023-10-14,,active
sub_0000268,u_0000896,pro,78,2023-10-23,,active
sub_0000269,u_0067455,starter,28,2023-10-09,,active
sub_0000270,u_0043708,starter,31,2023-10-08,,active
sub_0000271,u_0068350,pro,81,2023-10-10,,active
sub_0000272,u_0070914,pro,78,2023-10-14,,active
sub_0000273,u_0055968,business,197,2023-10-08,,active
sub_0000274,u_0003846,business,197,2023-10-21,,active
sub_0000275,u_0083983,starter,29,2023-10-12,,active
sub_0000276,u_0013737,pro,77,2023-10-14,,active
sub_0000277,u_0093201,starter,29,2023-10-13,,active
sub_0000278,u_0093634,starter,27,2023-10-12,,active
sub_0000279,u_0088761,starter,27,2023-10-21,,active
sub_0000280,u_0021362,starter,28,2023-10-21,,active
sub_0000281,u_0003190,starter,28,2023-10-13,,active
sub_0000282,u_0002548,pro,80,2023-10-09,,active
sub_0000283,u_0060207,starter,27,2023-10-23,,active
sub_0000284,u_0067406,,80,2023-10-11,,active
sub_0000285,u_0073857,starter,31,2023-10-11,,active
sub_0000286,u_0002974,pro,78,2023-10-19,,active
sub_0000287,u_0093906,business,200,2023-10-10,,active
sub_0000288,u_0086061,business,201,2023-10-22,,active
sub_0000289,u_0092658,business,199,2023-10-11,,active
sub_0000290,u_0036634,starter,27,2023-10-13,,active
sub_0000291,u_0078264,starter,29,2023-10-10,,active
sub_0000292,u_0024815,pro,77,2023-10-12,,active
sub_0000293,u_0009143,business,199,2023-10-17,,active
sub_0000294,u_0078546,starter,28,2023-10-08,,active
sub_0000295,u_0017975,pro,80,2023-10-10,,active
sub_0000296,u_0097388,starter,31,2023-10-18,,active
sub_0000297,u_0034312,starter,27,2023-10-11,,active
sub_0000298,u_0008941,pro,79,2023-10-12,,active
sub_0000299,u_0010274,,80,2023-10-18,,active
sub_0000300,u_0020186,business,199,2023-10-20,,active
sub_0000301,u_0051007,pro,79,2023-10-15,,active
sub_0000302,u_0077474,starter,27,2023-10-10,,active
sub_0000303,u_0069844,business,198,2023-10-10,,active
sub_0000304,u_0015715,starter,27,2023-10-09,,active
sub_0000305,u_0081949,pro,78,2023-10-14,,active
sub_0000306,u_0016172,starter,30,2023-10-14,,active
sub_0000307,u_0054918,starter,27,2023-10-12,,active
sub_0000308,u_0069649,starter,27,2023-10-09,,active
sub_0000309,u_0004947,starter,31,2023-10-10,,active
sub_0000310,u_0009344,pro,81,2023-10-19,,active
sub_0000311,u_0043211,pro,77,2023-10-21,,active
sub_0000312,u_0071355,starter,27,2023-10-19,,active
sub_0000313,u_0066469,starter,29,2023-10-15,,active
sub_0000314,u_0006436,business,201,2023-10-18,,active
sub_0000315,u_0090098,starter,31,2023-10-11,,active
sub_0000316,u_0033144,pro,79,2023-10-20,,active
sub_0000317,u_0015118,,79,2023-10-09,,active
sub_0000318,u_0086834,starter,31,2023-10-12,,active
sub_0000319,u_0041360,starter,28,2023-10-11,,active
sub_0000320,u_0050033,pro,79,2023-10-11,,active
sub_0000321,u_0000830,pro,81,2023-10-11,,active
sub_0000322,u_0037451,pro,79,2023-10-25,,active
sub_0000323,u_0050509,starter,27,2023-10-16,,active
sub_0000324,u_0078916,pro,79,2023-10-13,,active
sub_0000325,u_0005676,pro,79,2023-10-16,,active
sub_0000326,u_0057671,pro,80,2023-10-10,,active
sub_0000327,u_0088814,pro,77,2023-10-13,,active
sub_0000328,u_0033190,starter,29,2023-10-13,,active
sub_0000329,u_0046013,starter,29,2023-10-12,,active
sub_0000330,u_0092554,starter,31,2023-10-10,,active
sub_0000331,u_0013942,pro,78,2023-10-11,,active
sub_0000332,u_0012273,pro,78,2023-10-12,,active
sub_0000333,u_0016717,starter,30,2023-10-21,,active
sub_0000334,u_0086006,starter,28,2023-10-30,,active
sub_0000335,u_0038994,starter,27,2023-10-10,,active
sub_0000336,u_0040991,starter,28,2023-10-17,,active
sub_0000337,u_0052323,pro,78,2023-10-13,,active
sub_0000338,u_0054676,pro,78,2023-10-13,,active
sub_0000339,u_0085062,starter,31,2023-10-14,,active
sub_0000340,u_0075001,pro,79,2023-10-17,,active
sub_0000341,u_0043643,starter,31,2023-10-15,,active
sub_0000342,u_0018938,pro,80,2023-10-14,,active
sub_0000343,u_0056134,starter,28,2023-10-11,,active
sub_0000344,u_0037261,starter,31,2023-10-14,,active
sub_0000345,u_0036051,starter,27,2023-10-12,,active
sub_0000346,u_0099930,pro,77,2023-10-10,,active
sub_0000347,u_0001848,starter,27,2023-10-16,,active
sub_0000348,u_0086930,pro,78,2023-10-11,,active
sub_0000349,u_0001571,starter,30,2023-10-11,,active
sub_0000350,u_0093164,starter,29,2023-10-14,,active
sub_0000351,u_0070437,pro,78,2023-10-16,,active
sub_0000352,u_0055094,starter,27,2023-10-12,,active
sub_0000353,u_0051766,business,200,2023-10-24,,active
sub_0000354,u_0007348,pro,81,2023-10-12,,active
sub_0000355,u_0090025,business,201,2023-10-16,,active
sub_0000356,u_0032931,pro,78,2023-10-13,,active
sub_0000357,u_0088381,starter,31,2023-10-16,,active
sub_0000358,u_0096203,business,198,2023-10-17,,active
sub_0000359,u_0017544,business,200,2023-10-22,,active
sub_0000360,u_0007386,pro,79,2023-10-13,,active
sub_0000361,u_0047009,starter,29,2023-10-12,,active
sub_0000362,u_0070901,starter,28,2023-10-14,,active
sub_0000363,u_0086754,pro,78,2023-10-29,,active
sub_0000364,u_0024318,starter,31,2023-10-19,,active
sub_0000365,u_0017774,pro,77,2023-10-15,,active
sub_0000366,u_0021514,pro,79,2023-10-11,,active
sub_0000367,u_0085239,pro,78,2023-10-16,,active
sub_0000368,u_0047341,starter,31,2023-10-12,,active
sub_0000369,u_0032772,pro,81,2023-10-13,,active
sub_0000370,u_0054702,starter,27,2023-10-14,,active
sub_0000371,u_0018468,pro,78,2023-10-12,,active
sub_0000372,u_0070366,starter,28,2023-10-15,,active
sub_0000373,u_0070208,pro,77,2023-10-17,,active
sub_0000374,u_0007160,starter,30,2023-10-13,,active
sub_0000375,u_0084863,business,201,2023-10-16,,active
sub_0000376,u_0048827,starter,28,2023-10-22,,active
sub_0000377,u_0058580,starter,30,2023-10-20,,active
sub_0000378,u_0072087,starter,27,2023-10-13,,active
sub_0000379,u_0035307,starter,27,2023-11-01,,active
sub_0000380,u_0003660,starter,27,2023-10-17,,active
sub_0000381,u_0077213,starter,27,2023-10-15,,active
sub_0000382,u_0010796,starter,30,2023-10-17,,active
sub_0000383,u_0044171,starter,28,2023-10-12,,active
sub_0000384,u_0037128,starter,30,2023-10-13,,active
sub_0000385,u_0068455,pro,80,2023-10-17,,active
sub_0000386,u_0028681,pro,81,2023-11-04,,active
sub_0000387,u_0015737,starter,31,2023-10-11,,active
sub_0000388,u_0066300,starter,31,2023-10-15,,active
sub_0000389,u_0081197,starter,30,2023-10-12,,active
sub_0000390,u_0085573,starter,28,2023-10-16,,active
sub_0000391,u_0099580,starter,27,2023-10-14,,active
sub_0000392,u_0019479,starter,28,2023-10-17,,active
sub_0000393,u_0033116,pro,78,2023-10-29,,active
sub_0000394,u_0098694,business,198,2023-10-20,,active
sub_0000395,u_0066883,starter,27,2023-10-13,,active
sub_0000396,u_0071999,starter,31,2023-10-11,,active
sub_0000397,u_0091076,pro,81,2023-10-10,,active
sub_0000398,u_0035496,starter,30,2023-10-16,,active
sub_0000399,u_0054039,,28,2023-10-19,,active
sub_0000400,u_0024440,pro,77,2023-10-21,,active
sub_0000401,u_0025752,starter,31,2023-10-23,,active
sub_0000402,u_0008500,pro,77,2023-10-16,,active
sub_0000403,u_0005956,pro,80,2023-10-13,,active
sub_0000404,u_0054939,starter,28,2023-10-17,,active
sub_0000405,u_0030738,pro,79,2023-10-20,,active
sub_0000406,u_0005034,pro,80,2023-10-14,,active
sub_0000407,u_0074227,pro,79,2023-10-14,,active
sub_0000408,u_0052257,pro,78,2023-10-15,,active
sub_0000409,u_0058135,business,199,2023-10-12,,active
sub_0000410,u_0012038,starter,27,2023-10-20,,active
sub_0000411,u_0068578,business,198,2023-10-20,,active
sub_0000412,u_0052687,starter,31,2023-10-15,,active
sub_0000413,u_0071553,Starter,30,2023-10-22,,active
sub_0000414,u_0056980,starter,29,2023-10-17,,active
sub_0000415,u_0007894,PRO,77,2023-10-12,,active
